En = 72.8 ± 2.0 MeV     Proton cross sections																				
q (deg)	2.5*	10*	20	30	40	50	60	70	80*	90*	100*	110	120	130*	140	150*	160	170*	177.5*	
E (MeV)																				ds/dE
7	1.175	1.156	1.106	0.946	0.972	0.783	0.665	0.541	0.458	0.376	0.308	0.255	0.187	0.181	0.185	0.140	0.127	0.122	0.120	5.83
9	0.701	0.691	0.594	0.580	0.660	0.820	0.427	0.577	0.320	0.271	0.230	0.127	0.287	0.147	0.137	0.119	0.129	0.107	0.105	4.50
11	0.654	0.645	0.516	0.557	0.564	0.500	0.475	0.580	0.300	0.254	0.216	0.156	0.272	0.138	0.091	0.112	0.120	0.100	0.099	4.07
13	0.614	0.606	0.533	0.545	0.589	0.383	0.451	0.508	0.279	0.237	0.201	0.149	0.193	0.128	0.084	0.104	0.115	0.093	0.091	3.72
15	0.715	0.704	0.592	0.649	0.627	0.488	0.450	0.402	0.283	0.233	0.192	0.138	0.137	0.113	0.085	0.088	0.103	0.077	0.076	3.72
17	0.785	0.771	0.670	0.688	0.687	0.509	0.405	0.336	0.273	0.218	0.175	0.126	0.116	0.096	0.075	0.072	0.085	0.062	0.061	3.62
19	0.872	0.854	0.755	0.814	0.731	0.492	0.391	0.323	0.257	0.198	0.153	0.116	0.090	0.077	0.064	0.055	0.064	0.046	0.045	3.59
21	1.001	0.977	0.843	0.896	0.760	0.549	0.432	0.304	0.250	0.187	0.139	0.106	0.072	0.063	0.050	0.044	0.049	0.036	0.035	3.68
23	1.104	1.074	0.903	0.955	0.785	0.572	0.458	0.246	0.231	0.167	0.120	0.093	0.053	0.049	0.038	0.032	0.036	0.026	0.025	3.63
25	1.157	1.123	0.968	1.012	0.695	0.544	0.455	0.190	0.200	0.139	0.096	0.084	0.033	0.035	0.029	0.022	0.024	0.017	0.017	3.40
27	1.197	1.158	1.050	1.025	0.603	0.533	0.438	0.166	0.175	0.117	0.078	0.069	0.024	0.026	0.024	0.016	0.018	0.012	0.011	3.22
29	1.264	1.219	1.131	1.034	0.583	0.544	0.417	0.143	0.156	0.101	0.065	0.050	0.020	0.020	0.022	0.011	0.013	0.008	0.008	3.13
31	1.302	1.252	1.174	1.037	0.548	0.551	0.390	0.138	0.137	0.085	0.053	0.036	0.016	0.015	0.019	0.008	0.009	0.006	0.006	3.03
33	1.294	1.241	1.162	1.004	0.510	0.508	0.342	0.130	0.113	0.068	0.041	0.026	0.012	0.010	0.016	0.005	0.006	0.004	0.004	2.80
35	1.310	1.250	1.166	0.995	0.483	0.394	0.273	0.112	0.086	0.048	0.027	0.018	0.010	0.006	0.008	0.003	0.003	0.002	0.002	2.51
37	1.358	1.287	1.175	0.965	0.464	0.300	0.218	0.104	0.062	0.032	0.017	0.013	0.007	0.003	0.007	0.001	0.002	---	---	2.29
39	1.422	1.340	1.166	0.976	0.460	0.271	0.180	0.095	0.046	0.022	0.011	0.011	0.005	0.002	0.005	---	---	---	---	2.19
41	1.488	1.395	1.173	1.000	0.446	0.272	0.159	0.080	0.035	0.016	0.007	0.008	0.003	---	---	---	---	---	---	2.14
43	1.463	1.366	1.138	0.946	0.399	0.240	0.149	0.074	0.028	0.012	0.005	0.005	---	---	---	---	---	---	---	2.00
45	1.467	1.365	1.130	0.912	0.354	0.232	0.146	0.076	0.023	0.009	0.004	---	---	---	---	---	---	---	---	1.92
47	1.463	1.366	1.184	0.857	0.353	0.247	0.173	0.071	0.028	0.012	0.005	---	---	---	---	---	---	---	---	1.95
49	1.691	1.574	1.352	0.837	0.399	0.305	0.179	0.052	0.027	0.011	0.005	---	---	---	---	---	---	---	---	2.11
51	2.128	1.959	1.526	0.965	0.510	0.332	0.126	0.030	0.018	0.006	---	---	---	---	---	---	---	---	---	2.34
53	2.414	2.171	1.494	1.225	0.453	0.223	0.053	0.006	0.005	---	---	---	---	---	---	---	---	---	---	2.27
55	1.765	1.554	0.981	0.934	0.259	0.113	0.012	---	---	---	---	---	---	---	---	---	---	---	---	1.51
57	1.113	0.976	0.629	0.518	0.119	0.041	---	---	---	---	---	---	---	---	---	---	---	---	---	0.85
59	1.010	0.809	0.401	0.295	0.018	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.50
61	0.043	0.043	0.043	0.024	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.04
63	0.007	0.007	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.00
ds/dW	67.95	63.87	53.11	46.39	28.07	21.50	15.73	10.57	7.58	5.64	4.29	3.17	3.08	2.22	1.88	1.66	1.81	1.43	1.41	153.1
																				
En = 72.8 ± 2.0 MeV     Proton cross section errors																				
q (deg)	2.5*	10*	20	30	40	50	60	70	80*	90*	100*	110	120	130*	140	150*	160	170*	177.5*	
E (MeV)																				ds/dE
7	0.094	0.092	0.114	0.123	0.103	0.063	0.053	0.091	0.037	0.030	0.025	0.020	0.023	0.014	0.022	0.011	0.017	0.010	0.010	0.58
9	0.056	0.055	0.042	0.060	0.047	0.081	0.031	0.068	0.026	0.022	0.018	0.012	0.021	0.012	0.012	0.010	0.011	0.009	0.008	0.39
11	0.052	0.052	0.031	0.049	0.033	0.046	0.025	0.054	0.024	0.020	0.017	0.011	0.016	0.011	0.007	0.009	0.009	0.008	0.008	0.31
13	0.049	0.048	0.018	0.039	0.032	0.034	0.021	0.043	0.022	0.019	0.016	0.009	0.011	0.010	0.006	0.008	0.007	0.007	0.007	0.26
15	0.057	0.056	0.019	0.043	0.021	0.036	0.017	0.033	0.023	0.019	0.015	0.008	0.007	0.009	0.005	0.007	0.006	0.006	0.006	0.23
17	0.063	0.062	0.020	0.044	0.021	0.034	0.015	0.029	0.022	0.017	0.014	0.007	0.006	0.008	0.005	0.006	0.006	0.005	0.005	0.22
19	0.070	0.068	0.021	0.048	0.022	0.033	0.011	0.027	0.021	0.016	0.012	0.006	0.005	0.006	0.004	0.004	0.005	0.004	0.004	0.21
21	0.080	0.078	0.022	0.050	0.023	0.035	0.012	0.026	0.020	0.015	0.011	0.005	0.004	0.005	0.004	0.003	0.004	0.003	0.003	0.21
23	0.088	0.086	0.023	0.052	0.023	0.036	0.012	0.024	0.019	0.013	0.010	0.005	0.004	0.004	0.003	0.003	0.004	0.002	0.002	0.20
25	0.093	0.090	0.024	0.053	0.022	0.035	0.012	0.021	0.016	0.011	0.008	0.005	0.003	0.003	0.003	0.002	0.003	0.001	0.001	0.19
27	0.096	0.093	0.025	0.054	0.020	0.034	0.012	0.019	0.014	0.009	0.006	0.004	0.002	0.002	0.003	0.001	0.003	0.002	0.001	0.18
29	0.101	0.098	0.026	0.054	0.020	0.035	0.012	0.018	0.012	0.008	0.005	0.004	0.002	0.002	0.003	0.001	0.002	0.002	0.001	0.17
